City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,vila velha,-20.3297,-40.2925,27.97,69,0,6.69,BR,1741814980
260,gisborne,-38.6533,178.0042,14.94,81,100,3.93,NZ,1741814980
261,richards bay,-28.783,32.0377,22.13,85,87,1.21,ZA,1741814980
262,xuanzhou,30.9525,118.7553,11.2,94,100,5.14,CN,1741814980
263,east london,-33.0153,27.9116,23.39,80,94,4.82,ZA,1741814980
264,beidao,34.5686,105.8933,6.5,64,100,0.31,CN,1741814980
265,bani walid,31.7566,13.9942,23.19,24,0,4.78,LY,1741814980
266,egersund,58.4513,5.9997,1.65,95,98,1.79,NO,1741814980
267,sechura,-5.5569,-80.8222,29.38,55,77,7.18,PE,1741814980
268,mangrol,21.1167,70.1167,26.01,52,0,4.21,IN,1741814981
269,nelson bay,-32.7167,152.15,21.11,100,6,1.79,AU,1741814981
270,ar ruways,24.1103,52.7306,20.04,74,89,6.33,AE,1741814981
271,embarcacion,-23.209,-64.096,30.68,58,89,0.89,AR,1741814981
272,ciudad bolivar,8.1222,-63.5497,37.03,23,79,1.51,VE,1741814981
273,anna regina,7.2644,-58.5077,26.47,78,52,3.31,GY,1741814981
274,north bend,43.4065,-124.2243,10.09,87,100,2.57,US,1741814981
275,tura,25.5198,90.2201,18.73,45,54,2.05,IN,1741814981
276,kirakira,-10.4544,161.9205,28.1,75,35,1.12,SB,1741814981
277,stavern,59.0,10.0333,-1.6,93,98,6.7,NO,1741814981
278,guaimaca,14.5333,-86.8167,31.88,32,20,3.85,HN,1741814982
279,ambalangoda,6.2355,80.0538,24.42,88,100,2.63,LK,1741814982
280,port lincoln,-34.7333,135.8667,18.03,86,19,5.75,AU,1741814982
281,revda,56.801,59.9303,0.67,97,100,4.87,RU,1741814982
282,rexburg,43.826,-111.7897,11.01,40,100,6.69,US,1741814982
283,estevan,49.1334,-102.9842,6.11,70,75,3.09,CA,1741814982
284,canto do buriti,-8.11,-42.9444,28.71,36,100,1.59,BR,1741814982
285,chiautla de tapia,18.2833,-98.6,35.6,19,10,2.47,MX,1741814982
286,vorkuta,67.5,64.0,-15.39,98,95,3.4,RU,1741814983
287,labasa,-16.4167,179.3833,27.65,79,14,0.92,FJ,1741814983
288,breo,44.3904,7.8212,9.23,85,100,1.18,IT,1741814983
289,ust'-ordynskiy,52.805,104.7508,-21.81,100,88,1.18,RU,1741814983
290,bathsheba,13.2167,-59.5167,27.34,74,40,6.69,BB,1741814983
291,vuktyl,63.8567,57.3094,-16.47,100,86,1.24,RU,1741814983
292,keita,14.7551,5.7749,30.85,13,16,3.14,NE,1741814983
293,semnan,35.5729,53.3971,11.94,48,14,2.59,IR,1741814983
294,lib,8.3122,167.3766,27.2,82,63,10.56,MH,1741814983
295,nuuk,64.1835,-51.7216,5.34,70,100,5.66,GL,1741814984
296,freetown,8.484,-13.2299,23.87,79,58,2.79,SL,1741814984
297,tofol,5.3248,163.0078,27.88,78,75,2.06,FM,1741814984
298,shakhtersk,48.0625,38.5167,9.0,82,100,3.79,UA,1741814984
299,villa gesell,-37.2639,-56.973,15.69,64,98,4.78,AR,1741814984
300,san antonio de pale,-1.4014,5.6325,27.6,80,99,7.09,GQ,1741814984
301,muscat,23.6139,58.5922,26.84,37,4,1.36,OM,1741814984
302,cesano boscone,45.4421,9.0945,10.09,95,40,2.06,IT,1741814984
303,dzhubga,44.3211,38.7039,10.8,69,97,2.26,RU,1741814985
304,nadym,65.5333,72.5167,-2.31,96,100,9.53,RU,1741814985
305,murzuq,25.9155,13.9184,23.22,43,85,2.44,LY,1741814985
306,wegorzewo,54.2157,21.7372,7.14,82,87,3.32,PL,1741814985
307,kismayo,-0.3582,42.5454,26.19,83,100,5.73,SO,1741814985
308,zemio,5.0314,25.1361,26.26,26,50,1.21,CF,1741814985
309,kingston,17.997,-76.7936,30.09,70,20,4.63,JM,1741814985
